"YEAR";"T.SUM";"PHASE";"DOY"
1993;11561,8600835557;10;282
1993;11892,4868417726;10;281
1993;12197,647676867;10;287
1993;12008,7390147766;10;273
1993;12184,9830398357;10;287
1993;12218,0602848731;10;286
1993;11509,980135081;10;273
1993;12277,5490997209;10;274
1993;11861,1110049806;10;284
1993;11211,0188204108;10;270
1993;11731,4233940068;10;279
1993;11678,9929027;10;285
1993;11649,5675233891;10;277
1993;12499,1139795293;10;299
1993;11861,0432552008;10;286
1993;12706,8581397182;10;294
1993;12228,0315954382;10;287
1993;12088,4609977627;10;288
1993;11602,069107858;10;272
1993;11564,5915731404;10;272
1993;11374,2273523256;10;272
1993;12536,8786370807;10;284
1993;11821,8854929191;10;280
1993;11968,9649411052;10;298
1993;11939,9367769499;10;292
1993;11785,8516021253;10;291
1993;11565,4884464502;10;274
1993;13102,6302284841;10;289
1993;11779,3795768866;10;281
1993;11379,8131635271;10;273
1993;12190,6634274831;10;279
1993;12381,9925457191;10;292
1993;13831,7549985832;10;276
1993;13338,144448828;10;291
1993;11458,8971499005;10;280
1993;12160,300103029;10;274
1993;12030,0078118357;10;289
1993;12358,3941044837;10;294
1993;12006,3199006726;10;299
1993;12649,3674089673;10;284
1993;12800,7094691851;10;299
1993;11895,359304409;10;270
1993;11655,484079157;10;274
1993;11730,584412741;10;273
1993;11707,6720329395;10;281
1993;12039,8961999769;10;291
1993;12193,5924825109;10;295
1993;12464,0166669853;10;284
1993;12308,0449192593;10;286
1993;12431,9608460472;10;282
1993;12659,1025939713;10;293
1993;12116,4804474797;10;293
1993;11867,0138372787;10;293
1993;11454,9981435222;10;271
1993;12051,611808757;10;291
1993;12703,4641659801;10;287
1993;11829,1737429741;10;293
1993;11975,4107603064;10;277
1993;12903,06770713;10;292
1993;12837,566754494;10;284
1993;11477,7246002654;10;270
1993;12652,2616703145;10;298
1993;11807,3336111132;10;281
1993;12113,0214378479;10;277
1993;11450,5869196756;10;280
1993;12256,3551484322;10;281
1993;11748,6359435126;10;272
1993;12249,2856360633;10;287
1993;11879,7012703402;10;288
1993;11790,8148983368;10;271
1993;11655,4968278756;10;292
1993;11449,8783609892;10;275
1993;12242,7779939666;10;284
1993;11649,1585867781;10;288
1993;12147,2293390495;10;288
1993;12122,9668288101;10;269
1993;12414,6858236672;10;296
1993;11631,6352233367;10;279
1993;12010,4242464534;10;286
1993;12597,2995749587;10;293
1993;11551,4519757659;10;285
1993;11831,0326919419;10;281
1993;11887,2455349321;10;279
1993;11175,3378596398;10;272
1993;11921,2112092554;10;283
1993;11468,9835028187;10;273
1993;11982,368426667;10;278
1993;11260,8947702379;10;271
1993;12438,818342989;10;286
1993;12505,1651052329;10;286
1993;12101,7586308748;10;287
1993;11802,0414741303;10;293
1993;12037,9247222127;10;297
1993;12379,5925580519;10;292
1993;11796,0686647574;10;289
1993;11941,3200260302;10;289
1993;11489,3870766662;10;284
1993;12559,8237816511;10;297
1993;12377,7130993654;10;287
1993;12566,3284881683;10;288
1993;11760,8288272192;10;298
1993;11847,3934324151;10;286
1993;11781,1522393738;10;296
1993;11729,1034894439;10;287
1993;12150,907332266;10;285
1993;11580,9384102371;10;279
1993;11910,5438416888;10;281
1993;12405,6122803653;10;299
1993;12481,546695369;10;281
1993;12217,3624059451;10;285
1993;12083,269693098;10;284
1993;12268,5656100915;10;285
1993;12265,6059095876;10;285
1993;12227,3289920518;10;294
1993;12434,308513578;10;296
1993;11718,6079953682;10;288
1993;12141,7132482735;10;299
1993;12064,4322216743;10;287
1993;11630,2268767418;10;280
1993;11803,8891937221;10;293
1993;12167,8108030978;10;285
1993;11678,8220406667;10;278
1993;11242,6751190768;10;274
1993;12488,1329759715;10;287
1993;12128,374110375;10;293
1993;11899,7188117845;10;299
1993;11696,3074853988;10;293
1993;11765,8947560021;10;277
1993;11981,6430998573;10;298
1993;11988,7147420312;10;286
1993;11660,1324774692;10;289
1993;11356,143302118;10;277
1993;11701,8110767414;10;293
1993;11353,4927250285;10;268
1993;11646,1420858103;10;287
1993;11613,7654174834;10;278
1993;11277,9809032751;10;267
1993;11193,7702478281;10;270
1993;11727,4602597293;10;293
1993;11675,8779317578;10;289
1993;12055,8050633699;10;287
1993;11667,3992067816;10;279
1993;11577,975992536;10;271
1993;11685,0338260084;10;285
1993;11761,7420014324;10;287
1993;11822,6362108641;10;284
1993;11486,2068657111;10;274
1993;11673,8849339627;10;293
1993;11646,8499932676;10;286
1993;11590,9738037398;10;278
1993;11653,1943385662;10;287
1993;11093,1380081643;10;267
1993;11811,5892462325;10;293
1993;11679,6848586014;10;283
1993;412,600992652062;12;293
1993;398,081959817911;12;286
1993;313,88334904357;12;294
1993;345,133571688409;12;292
1993;315,923858084376;12;283
1993;405,453829126838;12;291
1993;201,420603530421;12;280
1993;358,307594436336;12;291
1993;389,840855973733;12;296
1993;240,576098970041;12;284
1993;301,050377388189;12;288
1993;306,004228913265;12;285
1993;327,444005658542;12;289
1993;249,137792807921;12;279
1993;390,711860640514;12;291
1993;291,930301099827;12;301
1993;403,778981358867;12;291
1993;391,068563885987;12;286
1993;400,096576815581;12;296
1993;342,121022595085;12;294
1993;412,177703220699;12;287
1993;319,504682371053;12;282
1993;246,592488758758;12;288
1993;310,233149921015;12;290
1993;335,155594635207;12;280
1993;331,480899350089;12;289
1993;334,371697829983;12;282
1993;316,354174475287;12;280
1993;271,696056337465;12;286
1993;208,083488485029;12;283
1993;383,481237169947;12;279
1993;351,768783853863;12;285
1993;387,792022460226;12;289
1993;537,567293656325;12;288
1993;328,21910167721;12;285
1993;392,52196119661;12;283
1993;367,214891482738;12;293
1993;322,426703417471;12;294
1993;690,121426684501;12;284
1993;241,871875609715;12;285
1993;330,988577580522;12;292
1993;324,966933900495;12;287
1993;379,758904857304;12;296
1993;338,218010269421;12;284
1993;327,674025942804;12;291
1993;349,335468224524;12;295
1993;298,565357561508;12;292
1993;253,267757050784;12;281
1993;379,383622746104;12;286
1993;253,113615911519;12;283
1993;449,131750028163;12;283
1993;466,770852942841;12;291
1993;340,716833252749;12;289
1993;395,361111307657;12;295
1993;271,659458586748;12;285
1993;293,328296456245;12;296
1993;351,258385893346;12;295
1993;303,529093216067;12;302
1993;430,13430960029;12;295
1993;319,802056068898;12;290
1993;291,198854681278;12;289
1993;326,167424035827;12;292
1993;476,186685439031;12;290
1993;421,794926565283;12;295
1993;500,443157310226;12;292
1993;593,146644917552;12;288
1993;312,275504691227;12;291
1993;388,220745623378;12;289
1993;309,057422297293;12;290
1993;341,275529190711;12;293
1993;345,127485354599;12;284
1993;366,178078605584;12;281
1993;387,61842073904;12;288
1993;293,982942186194;12;292
1993;270,210652949181;12;285
1993;325,581523900704;12;283
1993;343,443463071575;12;289
1993;369,249028174168;12;289
1993;429,664101323992;12;288
1993;430,242161190663;12;295
1993;300,536535286649;12;284
1993;430,77284311387;12;287
1993;328,901524089366;12;286
1993;304,885422421436;12;287
1993;298,559021548219;12;280
1993;417,164662240725;12;287
1993;339,783380959105;12;284
1993;343,369686308593;12;285
1993;338,667962577379;12;285
1993;305,957219916516;12;284
1993;261,700376569391;12;284
1993;274,113986358211;12;286
1993;362,201985238061;12;288
1993;324,694400419414;12;286
1993;286,433557687308;12;284
1993;329,165010112222;12;285
1993;408,72456030223;12;285
1993;439,793026793467;12;289
1993;346,799354341374;12;289
1993;281,799511914638;12;283
1993;442,967518601354;12;292
1993;404,038420633618;12;293
1993;398,336551310116;12;285
1993;430,069277452318;12;285
1993;292,048754596633;12;288
1993;443,126766266759;12;287
1993;273,898359840731;12;283
1993;251,978597026457;12;283
1993;305,58857768657;12;282
1993;313,016416556783;12;293
1993;325,338014914073;12;285
1993;367,847949007111;12;283
1993;272,788423734467;12;279
1993;394,97382661155;12;289
1993;361,421888470315;12;295
1993;326,820987773574;12;293
1993;315,042943621732;12;279
1993;411,982122379734;12;289
1993;419,271088934396;12;287
1993;293,931934253009;12;285
1993;329,115456873411;12;283
1993;398,159235718073;12;286
1993;399,723344443432;12;287
1993;327,249918583426;12;281
1993;208,71197516991;12;282
1993;492,108523482866;12;289
1993;383,129641512638;12;284
1993;232,164829018537;12;283
1993;400,634490228071;12;282
1993;227,757245985343;12;280
1993;339,744579769331;12;291
1993;294,678184923488;12;298
1993;282,151735323408;12;279
1993;387,488507998549;12;288
1993;245,350389261545;12;280
1993;333,49442441301;12;286
1993;333,594786163873;12;281
1993;482,76953375929;12;289
1993;371,597406493791;12;281
1993;255,537633664739;12;283
1993;307,847771665277;12;282
1993;370,635536862388;12;291
1993;320,425866607468;12;291
1993;356,097747941038;12;286
1993;312,118829259636;12;286
1993;385,79324010698;12;285
1993;330,837862370506;12;283
1993;349,06265456202;12;286
1993;269,270326794246;12;282
1993;333,163978688684;12;297
1993;298,733901634801;12;291
1993;455,8093632155;12;285
1993;521,769351377369;12;285
1993;328,83701785696;12;285
1993;276,924047328097;12;282
1993;340,469835661421;12;285
1993;353,881227837341;12;283
1993;346,174165520263;12;293
1993;348,182156629994;12;287
1993;395,1863999978;12;292
1993;294,17859714795;12;283
1993;427,02205065531;12;286
1993;299,350138246842;12;285
1993;413,30093580767;12;284
1993;489,568488167126;12;287
1993;443,30787365596;12;285
1993;310,794130143931;12;283
1993;365,536294106911;12;291
1993;574,88018557447;12;289
1993;211,660758115391;12;284
1993;464,897877690636;12;288
1993;324,469666213929;12;284
1993;539,808565263854;12;280
1993;188,244141294749;12;282
1993;535,364558410606;12;284
1993;438,402668396703;12;282
1993;447,287501278726;12;286
1993;422,068617646124;12;289
1993;351,246557358464;12;283
1993;277,837327212993;12;289
1993;418,405623974404;12;295
1993;519,183460998401;12;293
1993;445,583953622497;12;292
1993;563,370576972863;12;280
1993;338,063198788917;12;286
1993;668,077568882486;12;286
1993;225,947569908318;12;279
1993;447,08955408369;12;293
1993;306,453356709194;12;279
1993;669,416983594983;12;285
1993;328,870432629361;12;288
1993;433,283991934839;12;288
1993;637,921734527677;12;283
1993;500,027012534268;12;288
1993;402,127558118198;12;291
1993;287,346950551912;12;300
1993;350,639835715301;12;281
1993;490,693195143637;12;291
1993;506,508392509135;12;287
1993;357,668904763467;12;293
1993;382,335442896525;12;285
1993;377,673769500424;12;284
1993;565,051576412613;12;290
1993;473,534343669417;12;288
1993;350,851902667662;12;286
1993;400,202935460822;12;291
1993;431,326701753251;12;287
1993;328,240473154263;12;283
1993;285,297080473658;12;282
1993;476,74210236469;12;289
1993;396,812111532616;12;291
1993;343,922851883461;12;288
1993;408,836640974899;12;292
1993;421,11784767434;12;288
1993;305,506820885704;12;280
1993;315,020902910557;12;285
1993;313,58983667882;12;295
1993;437,032693713389;12;280
1993;224,041265995412;12;283
1993;327,018859673826;12;295
1993;378,537102685428;12;293
1993;328,209863706061;12;292
1993;347,536229612325;12;293
1993;290,230766764668;12;293
1993;328,925054294463;12;281
1993;401,007328353389;12;283
1993;467,837038820489;12;294
1993;517,797714004543;12;289
1993;479,032716459364;12;279
1993;412,40263705833;12;290
1993;336,849766034875;12;291
1993;402,913327764281;12;286
1993;304,97603981256;12;291
1993;337,64000351681;12;289
1993;285,228662866267;12;285
1993;391,651410318511;12;285
1993;393,709530745601;12;285
1993;438,631116555607;12;281
1993;317,271729004281;12;294
1993;266,535335440242;12;281
1993;374,832427140843;12;293
1993;436,461642348681;12;287
1993;492,151804629652;12;280
1993;376,577283931484;12;289
1993;421,417030737161;12;285
1993;416,062963547659;12;295
1993;434,835847556978;12;289
1993;294,32609354058;12;294
1993;358,93349169087;12;295
1993;406,924220566973;12;287
1993;584,192334999497;12;288
1993;367,12522100745;12;283
1993;540,329703319868;12;285
1993;326,521066088404;12;293
1993;394,501373370478;12;285
1993;462,493936344126;12;285
1993;425,890489601572;12;285
1993;301,720245253325;12;283
1993;415,279732729318;12;285
1993;385,49291749275;12;283
1993;420,531705434353;12;285
1993;317,582050947992;12;282
1993;316,315559146042;12;281
1993;425,152916979092;12;291
1993;431,881897407898;12;289
1993;346,279585385723;12;289
1993;327,750070515235;12;291
1993;272,947783485255;12;293
1993;361,484962639203;12;291
1993;286,699256198351;12;299
1993;378,216400691719;12;295
1993;419,685661928552;12;286
1993;388,694179217191;12;283
1993;421,459750663354;12;287
1993;541,187520493174;12;289
1993;474,120622963087;12;287
1993;309,012769500462;12;298
1993;418,981168746191;12;293
1993;363,169955015236;12;286
1993;294,398904308573;12;285
1993;326,503135674696;12;283
1993;419,066154971812;12;285
1993;330,14654593641;12;285
1993;366,492446082726;12;289
1993;301,899693985851;12;301
1993;442,990836733208;12;287
1993;322,339493135797;12;281
1993;314,514170194202;12;282
1993;372,789417496967;12;283
1993;443,909342825895;12;291
1993;315,601062319496;12;289
1993;284,877225871858;12;305
1993;377,280145069885;12;284
1993;380,688511568363;12;284
1993;269,160833835339;12;280
1993;342,446949963565;12;293
1993;244,293559070086;12;284
1993;369,292001782457;12;284
1993;516,533863131101;12;286
1993;356,323143236943;12;282
1993;480,062583039015;12;287
1993;319,751383458514;12;297
1993;381,666117633971;12;284
1993;436,310786780698;12;287
1993;349,33068452165;12;281
1993;355,492943768793;12;288
1993;375,851756599924;12;285
1993;337,215014047853;12;283
1993;161,249884274134;12;283
1993;303,28540553352;12;280
1993;372,547409430202;12;284
1993;301,237785590153;12;282
1993;336,446319170919;12;281
1993;452,451696684931;12;287
1993;378,236504048044;12;296
1993;335,552007291593;12;303
1993;337,972465768146;12;286
1993;341,347364670787;12;290
1993;329,586078782135;12;281
1993;426,693485493276;12;281
1993;305,968959482356;12;301
1993;274,644704659305;12;289
1993;474,994503194644;12;289
1993;453,184505777286;12;286
1993;476,856595920541;12;289
1993;448,884946351253;12;288
1993;571,083613927783;12;288
1993;386,845818938364;12;285
1993;412,835727388441;12;288
1993;384,548084784987;12;287
1993;465,771683011073;12;291
1993;355,390157749757;12;295
1993;335,798070582543;12;293
1993;483,322461397361;12;287
1993;338,490339135086;12;292
1993;308,134931908873;12;284
1993;297,673213517275;12;289
1993;283,155165395442;12;293
1993;310,308033224816;12;284
1993;282,775792876654;12;283
1993;571,649117622196;12;286
1993;346,720202293433;12;292
1993;407,507048839814;12;288
1993;313,066219219499;12;283
1993;419,149706790074;12;287
1993;186,55090437706;12;279
1993;279,416313936767;12;289
1993;419,60211295688;12;288
1993;436,451239470373;12;287
1993;411,823047280792;12;287
1993;385,698313971864;12;286
1993;288,667967677579;12;287
1993;279,519517532299;12;284
1993;390,056221651091;12;288
1993;409,222029472283;12;285
1993;366,688215501689;12;290
1993;410,421672823014;12;288
1993;324,554857243549;12;289
1993;271,707883299328;12;283
1993;263,073158453812;12;282
1993;361,496916255764;12;288
1993;467,796606972223;12;286
1993;567,434615385337;12;288
1993;342,280768983152;12;285
1993;283,691599915193;12;282
1993;332,507886729779;12;285
1993;445,244971172754;12;284
1993;427,348055075205;12;293
1993;350,301619461365;12;291
1993;307,307085065132;12;293
1993;362,889490574777;12;285
1993;401,38980649241;12;290
1993;375,086144799354;12;287
1993;460,930910241635;12;280
1993;445,02902493574;12;290
1993;346,913642485389;12;286
1993;359,264306782614;12;291
1993;301,217821754728;12;293
1993;295,018001778471;12;285
1993;303,593755498403;12;283
1993;276,858253222282;12;282
1993;612,955230091566;12;285
1993;347,016802532324;12;285
1993;1402,14978906069;15;105
1993;1712,88843604052;15;125
1993;835,548077099612;15;109
1993;1854,03029043528;15;121
1993;710,808866377729;15;105
1993;1081,28937875677;15;118
1993;1527,38299029162;15;120
1993;688,462613491397;15;112
1993;1423,1626814145;15;125
1993;1429,02917390328;15;127
1993;806,973932602171;15;115
1993;952,166367200793;15;108
1993;1458,89235405154;15;120
1993;1024,64908982388;15;121
1993;743,763675748687;15;105
1993;1289,3466615666;15;130
1993;1311,67687635146;15;118
1993;1327,21934426688;15;125
1993;670,846743386689;15;110
1993;1078,99295576507;15;118
1993;1475,24308805897;15;123
1993;601,2400849564;15;112
1993;630,014772779065;15;105
1993;1424,06963804671;15;126
1993;1525,8919937688;15;124
1993;751,276303796076;15;112
1993;1267,9274651943;15;119
1993;1481,28487223145;15;130
1993;635,979628887536;15;105
1993;1495,61431423106;15;130
1993;1158,65886553585;15;118
1993;1335,93736572311;15;126
1993;1020,40432875333;15;122
1993;669,955520672126;15;111
1993;1116,30339749713;15;117
1993;1572,91946409182;15;120
1993;752,786253959633;15;117
1993;1135,21960337334;15;125
1993;1292,93888905623;15;120
1993;527,798932680534;15;107
1993;1353,94280982819;15;129
1993;1606,48348347731;15;132
1993;671,560576718424;15;113
1993;1171,35697737224;15;118
1993;785,617228363693;15;114
1993;1213,85361806633;15;106
1993;1442,33189062943;15;120
1993;1013,90914729116;15;119
1993;1902,79261847944;15;133
1993;1916,30277875389;15;135
1993;1435,31480646803;15;125
1993;1913,93335714754;15;117
1993;1466,37479724695;15;126
1993;1223,39866537905;15;122
1993;919,015107836511;15;115
1993;1351,50881803689;15;121
1993;1748,36726991377;15;132
1993;1617,80210726444;15;130
1993;1618,13535317116;15;125
1993;678,991004349849;15;110
1993;622,664187378504;15;104
1993;615,535742074615;15;110
1993;1390,72261402219;15;121
1993;1228,52984764452;15;105
1993;649,001758898786;15;111
1993;1864,07923742838;15;130
1993;1048,10985436991;15;113
1993;1806,33652536337;15;130
1993;531,727424494458;15;111
1993;1328,51898420187;15;121
1993;1615,42762264536;15;129
1993;1644,61305388037;15;134
1993;1353,98453592237;15;122
1993;1743,9315558529;15;128
1993;1791,14895858749;15;124
1993;505,717421531136;15;105
1993;1795,09593622181;15;120
1993;1280,48132064386;15;122
1993;1993,16397548408;15;134
1993;1608,9923443698;15;129
1993;1062,37338489197;15;116
1993;1050,19168949941;15;128
1993;1231,06234351744;15;117
1993;1135,19555791289;15;119
1993;1008,5472128304;15;115
1993;644,390246483619;15;112
1993;1352,00463262295;15;124
1993;1354,59888040954;15;123
1993;852,213819244243;15;111
1993;514,963747020422;15;108
1993;764,152436717412;15;111
1993;1418,32839555084;15;114
1993;1087,47875496362;15;104
1993;1379,69168508458;15;122
1993;1701,91040745714;15;116
1993;2003,8783673967;15;132
1993;1230,50171126386;15;123
1993;746,735203334759;15;113
1993;1592,97947685217;15;121
1993;793,271542423249;15;116
1993;1098,11136279673;15;111
1993;1616,74522697614;15;132
1993;999,38355380516;15;104
1993;1174,1412581948;15;123
1993;1190,27280942855;15;120
1993;597,016521226634;15;110
1993;858,196493208639;15;112
1993;1221,49270278262;15;118
1993;1158,13352753764;15;120
1993;1437,43328616712;15;121
1993;1061,3758686824;15;117
1993;1239,23160558407;15;116
1993;1130,95199191857;15;115
1993;1229,7722734296;15;118
1993;883,110773526322;15;114
1993;897,239976247645;15;114
1993;1536,65395501252;15;124
1993;602,992251596419;15;110
1993;1807,30446143276;15;120
1993;547,041542652312;15;112
1993;714,992193588423;15;111
1993;1302,54923813058;15;120
1993;618,506988676376;15;111
1993;1068,59118827646;15;120
1993;884,28555368505;15;111
1993;1370,22838964328;15;123
1993;1813,74474681874;15;123
1993;1471,11740417729;15;116
1993;1997,93669551917;15;131
1993;739,645340770098;15;108
1993;1386,2736950008;15;124
1993;603,826565521998;15;110
1993;919,309775088285;15;110
1993;1514,93177487396;15;128
1993;1156,16461505523;15;109
1993;789,137855858381;15;111
1993;743,758917218156;15;108
1993;1362,02108879079;15;121
1993;738,150359833764;15;110
1993;1763,85559798779;15;130
1993;1081,31787145446;15;114
1993;1716,04720778481;15;127
1993;936,417654884092;15;115
1993;1733,05313677133;15;130
1993;742,787513150076;15;111
1993;1858,20782352914;15;132
1993;1444,95202035722;15;122
1993;975,485234212707;15;113
1993;1622,82945328874;15;119
1993;1258,4383757377;15;118
1993;1232,3395390082;15;117
1993;984,700255841042;15;111
1993;1481,01954754376;15;123
1993;1886,92449732921;15;121
1993;1116,3484143404;15;117
1993;922,529906791843;15;116
1993;917,379786036892;15;109
1993;1289,11606396241;15;122
1993;1519,67281481002;15;114
1993;472,682104823017;15;105
1993;1272,62786371453;15;112
1993;1032,28867146489;15;104
1993;1201,82274932303;15;120
1993;1400,37654594837;15;121
1993;1145,69691240276;15;117
1993;1163,70270465001;15;112
1993;2094,80648518722;15;132
1993;945,502527305244;15;117
1993;1179,39848471086;15;116
1993;554,954435908596;15;116
1993;1931,20056671691;15;133
1993;1287,56183276943;15;110
1993;743,400028124934;15;115
1993;1295,62185550007;15;112
1993;944,620691668315;15;115
1993;1563,68518590307;15;114
1993;1857,18494147195;15;116
1993;1078,04326268434;15;121
1993;1051,68228444528;15;104
1993;1330,71758056568;15;120
1993;981,71577835342;15;117
1993;1089,1494766773;15;115
1993;1926,2166188047;15;132
1993;1411,1980995547;15;124
1993;1969,4829771766;15;135
1993;1322,21468444372;15;120
1993;1253,84154527737;15;107
1993;789,373891922496;15;113
1993;948,119180285483;15;103
1993;1278,00329416632;15;112
1993;1724,82388716874;15;128
1993;1000,03395941039;15;117
1993;1295,0685756429;15;110
1993;1529,34944995679;15;126
1993;1022,120001958;15;116
1993;908,147023990083;15;102
1993;1529,70357531839;15;124
1993;1669,69272398295;15;124
1993;1788,19929874675;15;117
1993;1231,99423956156;15;112
1993;1490,50988180654;15;115
1993;1581,8015600207;15;128
1993;796,659366110177;15;105
1993;630,30667315879;15;111
1993;844,500595625179;15;112
1993;1173,36895473156;15;119
1993;1140,88370563979;15;123
1993;1283,45769207176;15;117
1993;1301,54754778321;15;125
1993;1222,35948741089;15;115
1993;1554,36587339204;15;111
